Distance_(pixels);Gray_Value
0;0,000
1;0,071
2;4,432
3;10,643
4;5,435
5;63,525
6;140,600
7;88,668
8;17,950
9;109,708
10;156,231
11;59,364
12;41,861
13;127,056
14;141,631
15;47,617
16;6,979
17;4,000
